file_1_file_1_g3794	ko:K06767
file_1_file_1_g8109	ko:K02887
file_1_file_2_9266_g	ko:K01027
file_1_file_1_g8110	ko:K01027
file_1_file_1_g8111	ko:K20056
file_1_file_1_g8113	ko:K06883
file_1_file_1_g8114	-
file_1_file_1_g8115	ko:K07840,ko:K07841
file_1_file_2_9272_g	-
file_1_file_1_g8116	-
file_1_file_1_g8117	ko:K13149
file_1_file_1_g8118	-
file_1_file_1_g8119	-
file_1_file_1_g8120	-
file_1_file_1_g8121	-
file_1_file_1_g8122	ko:K01292,ko:K01294,ko:K07752
file_1_file_1_g8123	-
file_1_file_1_g8124	ko:K19941
file_1_file_1_g8125	ko:K16866
file_1_file_1_g8126	ko:K19941
file_1_file_1_g8127	-
file_1_file_1_g8128	-
file_1_file_1_g8129	ko:K00281
file_1_file_1_g8130	ko:K02373
file_1_file_1_g8131	ko:K01952
file_1_file_1_g8132	ko:K13171
file_1_file_1_g8133	-
file_1_file_1_g8136	-
file_1_file_1_g8137	ko:K13023
file_1_file_1_g8139	ko:K14071
file_1_file_1_g8140	ko:K01915
file_1_file_1_g8141	-
file_1_file_2_9296_g	-
file_1_file_1_g8142	ko:K01310
file_1_file_1_g8143	-
file_1_file_1_g8144	-
file_1_file_1_g8146	-
file_1_file_1_g8147	-
file_1_file_1_g8148	-
file_1_file_1_g8149	ko:K02174
file_1_file_1_g8150	ko:K05731,ko:K16847
file_1_file_1_g8151	ko:K05731
file_1_file_1_g8154	ko:K18754
file_1_file_1_g8158	-
file_1_file_1_g8160	ko:K05545
file_1_file_1_g8161	ko:K14801
file_1_file_1_g8162	-
file_1_file_1_g8163	ko:K08595,ko:K08596
file_1_file_1_g8164	ko:K08595,ko:K08596
file_1_file_1_g8165	ko:K09288
file_1_file_1_g8166	ko:K10172
file_1_file_1_g8167	ko:K02605
file_1_file_1_g8168	-
file_1_file_1_g8169	-
file_1_file_1_g8170	-
file_1_file_1_g8171	-
file_1_file_1_g8172	-
file_1_file_1_g8173	-
file_1_file_1_g8174	-
file_1_file_1_g8175	-
file_1_file_1_g8176	-
file_1_file_1_g8177	-
file_1_file_1_g8178	-
file_1_file_1_g8179	-
file_1_file_1_g8180	-
file_1_file_1_g8181	-
file_1_file_1_g8183	-
file_1_file_1_g8184	-
file_1_file_1_g8185	-
file_1_file_1_g8186	-
file_1_file_1_g8187	-
file_1_file_1_g8188	-
file_1_file_1_g8190	-
file_1_file_1_g8191	-
file_1_file_1_g8192	-
file_1_file_1_g8193	-
file_1_file_1_g8194	-
file_1_file_1_g8195	-
file_1_file_1_g8196	-
file_1_file_1_g8199	ko:K10721
file_1_file_1_g8200	ko:K01409,ko:K10721
file_1_file_1_g8201	-
file_1_file_1_g8202	ko:K03248
file_1_file_1_g8203	ko:K21111
file_1_file_1_g8204	ko:K21111
file_1_file_1_g8205	ko:K03440
file_1_file_1_g8206	ko:K13526,ko:K14951
file_1_file_1_g8207	ko:K21108
file_1_file_1_g8209	ko:K21108
file_1_file_1_g8210	ko:K09699
file_1_file_1_g8211	-
file_1_file_1_g8212	-
file_1_file_1_g8213	ko:K07933
file_1_file_1_g8214	ko:K05122,ko:K05129
file_1_file_1_g8215	ko:K03136
file_1_file_1_g8216	ko:K18798
file_1_file_1_g8217	ko:K08267
file_1_file_1_g8218	-
file_1_file_1_g8219	-
file_1_file_1_g8220	-
file_1_file_1_g8222	ko:K12848
file_1_file_1_g8223	ko:K15001,ko:K15007
file_1_file_1_g8224	-
file_1_file_2_9381_g	ko:K10876
file_1_file_1_g8225	ko:K10876
file_1_file_2_9382_g	ko:K10876
file_1_file_1_g8226	ko:K03963
file_1_file_1_g8227	ko:K20877
file_1_file_1_g8228	ko:K08672,ko:K11092
file_1_file_1_g8229	-
file_1_file_1_g8230	ko:K13293
file_1_file_2_9390_g	-
file_1_file_1_g8233	-
file_1_file_1_g8235	ko:K13293
file_1_file_1_g8236	-
file_1_file_1_g8239	-
file_1_file_1_g8240	-
file_1_file_1_g8241	ko:K01265
file_1_file_1_g8242	-
file_1_file_1_g8243	ko:K12173
file_1_file_1_g8244	ko:K01764
file_1_file_1_g8245	ko:K06515
file_1_file_1_g8246	ko:K06134,ko:K14820
file_1_file_1_g8247	ko:K18204
file_1_file_1_g8248	ko:K14322
file_1_file_1_g8249	ko:K22063
file_1_file_1_g8250	ko:K06176
file_1_file_1_g8252	ko:K09239
file_1_file_1_g8257	-
file_1_file_1_g8261	ko:K09365
file_1_file_1_g8266	-
file_1_file_2_9426_g	-
file_1_file_1_g8267	-
file_1_file_1_g8268	ko:K02987
file_1_file_1_g8270	-
file_1_file_2_9430_g	ko:K01196
file_1_file_1_g8271	ko:K01196
file_1_file_1_g8272	-
file_1_file_1_g8273	-
file_1_file_1_g8278	-
file_1_file_1_g8279	-
file_1_file_1_g8280	ko:K11153
file_1_file_1_g8281	ko:K01044,ko:K01049,ko:K01050,ko:K03927,ko:K15743
file_1_file_1_g8282	ko:K01044,ko:K01049,ko:K01050,ko:K03927,ko:K15743
file_1_file_1_g8283	ko:K01044,ko:K01049,ko:K01050,ko:K03927,ko:K15743
file_1_file_1_g8284	ko:K08028,ko:K09081,ko:K09082
file_1_file_1_g8285	ko:K07374
file_1_file_1_g8286	ko:K11153
file_1_file_1_g8287	ko:K18266
file_1_file_1_g8289	-
file_1_file_1_g8293	-
file_1_file_1_g8294	-
file_1_file_1_g8295	ko:K10249
file_1_file_1_g8296	ko:K10250
file_1_file_1_g8298	-
file_1_file_1_g8299	-
file_1_file_1_g8300	-
file_1_file_1_g8301	-
file_1_file_1_g8302	-
file_1_file_1_g8303	-
file_1_file_2_9462_g	-
file_1_file_1_g8304	ko:K10250
file_1_file_1_g8306	ko:K13356
file_1_file_1_g8307	ko:K20251
file_1_file_1_g8308	-
file_1_file_1_g8309	ko:K10249
file_1_file_1_g8310	ko:K10249
file_1_file_1_g8311	-
file_1_file_1_g8312	ko:K10250
file_1_file_1_g8314	-
file_1_file_1_g8315	-
file_1_file_1_g8316	ko:K08287,ko:K08841,ko:K08842
file_1_file_1_g8317	ko:K17834
file_1_file_1_g8318	ko:K07955
file_1_file_1_g8319	ko:K03963,ko:K09091
file_1_file_1_g8320	ko:K09189
file_1_file_1_g8321	ko:K14823
file_1_file_1_g8322	ko:K03108
file_1_file_1_g8323	-
file_1_file_1_g8325	-
file_1_file_1_g8326	-
file_1_file_1_g8328	-
file_1_file_1_g8329	ko:K14613,ko:K17917,ko:K20840
file_1_file_1_g8330	ko:K14613,ko:K17917,ko:K20840
file_1_file_1_g8331	ko:K14613,ko:K17917,ko:K20840
file_1_file_1_g8332	ko:K14613,ko:K17917,ko:K20840
file_1_file_1_g8333	ko:K14613,ko:K17917,ko:K20840
file_1_file_1_g8334	ko:K14613,ko:K17917,ko:K20840
file_1_file_1_g8335	ko:K20828
file_1_file_1_g8336	-
file_1_file_1_g8337	ko:K07521
file_1_file_1_g8338	ko:K07521
file_1_file_1_g8339	ko:K14165
file_1_file_1_g8341	ko:K14999
file_1_file_1_g8343	-
file_1_file_1_g8344	ko:K14999
file_1_file_1_g8345	-
file_1_file_1_g8346	ko:K14007
file_1_file_1_g8347	ko:K04372
file_1_file_1_g8349	-
file_1_file_1_g8350	-
file_1_file_1_g8352	ko:K15685,ko:K15714
file_1_file_1_g8353	ko:K17759
file_1_file_1_g8354	ko:K04802
file_1_file_1_g8355	-
file_1_file_1_g8356	ko:K13142
file_1_file_2_9521_g	ko:K13142
file_1_file_1_g8357	ko:K13142
file_1_file_2_9522_g	ko:K13142
file_1_file_1_g8358	ko:K06883
file_1_file_1_g8359	ko:K15429
file_1_file_1_g8360	ko:K15429
file_1_file_1_g8361	-
file_1_file_1_g8362	ko:K14613,ko:K17917,ko:K20840
file_1_file_1_g8363	ko:K14613,ko:K17917,ko:K20840
file_1_file_1_g8365	ko:K13805
file_1_file_1_g8366	ko:K13341
file_1_file_1_g8368	-
file_1_file_1_g8370	ko:K08376
file_1_file_1_g8371	-
file_1_file_1_g8372	ko:K08376
file_1_file_1_g8373	ko:K08193,ko:K12301,ko:K12302
file_1_file_1_g8374	-
file_1_file_1_g8375	ko:K01876,ko:K17387
file_1_file_1_g8376	-
file_1_file_1_g8377	-
file_1_file_1_g8379	-
file_1_file_1_g8381	ko:K16831
file_1_file_1_g8383	ko:K11886
file_1_file_1_g8384	ko:K01277
file_1_file_1_g8385	ko:K08800
file_1_file_1_g8386	ko:K08800
file_1_file_1_g8387	-
file_1_file_1_g8388	ko:K04499
file_1_file_2_9551_g	ko:K04499
file_1_file_1_g8389	-
file_1_file_1_g8390	ko:K04506
file_1_file_1_g8391	ko:K10798
file_1_file_1_g8392	-
file_1_file_1_g8393	-
file_1_file_1_g8395	-
file_1_file_1_g8396	-
file_1_file_1_g8397	-
file_1_file_1_g8398	ko:K12199
file_1_file_1_g8399	-
file_1_file_1_g8400	ko:K00326
file_1_file_1_g8401	ko:K09283
file_1_file_1_g8402	ko:K05702
file_1_file_1_g8403	ko:K05702
file_1_file_1_g8404	ko:K04459,ko:K14819,ko:K18498,ko:K20216,ko:K21946
file_1_file_1_g8406	ko:K04459,ko:K14819,ko:K18498,ko:K20216,ko:K21946
file_1_file_1_g8407	-
file_1_file_1_g8408	ko:K10456
file_1_file_1_g8409	ko:K15304
file_1_file_1_g8410	ko:K15304
file_1_file_1_g8411	-
file_1_file_1_g8415	ko:K06068
file_1_file_1_g8416	ko:K06068,ko:K18050,ko:K18052
file_1_file_1_g8418	ko:K12870
file_1_file_2_9586_g	ko:K08855,ko:K09526
file_1_file_1_g8419	ko:K08855,ko:K09526
file_1_file_1_g8420	ko:K08855,ko:K09526
file_1_file_1_g8421	ko:K11981
file_1_file_1_g8422	ko:K11886
file_1_file_1_g8424	ko:K16600
file_1_file_1_g8426	ko:K07427,ko:K15001,ko:K15007
file_1_file_1_g8428	-
file_1_file_1_g8429	ko:K07427,ko:K15001,ko:K15007
file_1_file_1_g8430	ko:K10401
file_1_file_1_g8432	ko:K13863,ko:K13864,ko:K13865
file_1_file_1_g8433	ko:K00799
file_1_file_1_g8434	ko:K03984,ko:K13963
file_1_file_1_g8435	-
file_1_file_1_g8437	ko:K08870,ko:K10161,ko:K14962
file_1_file_1_g8438	-
file_1_file_1_g8439	ko:K00444
file_1_file_1_g8440	-
file_1_file_1_g8441	ko:K08524,ko:K13218,ko:K14948,ko:K17844
file_1_file_1_g8445	ko:K13539
file_1_file_1_g8447	-
file_1_file_2_9617_g	ko:K13963
file_1_file_1_g8449	ko:K13963
file_1_file_1_g8450	ko:K13963
file_1_file_1_g8451	ko:K00164
file_1_file_1_g8452	ko:K00164
file_1_file_1_g8453	-
file_1_file_1_g8454	ko:K01017
file_1_file_1_g8455	-
file_1_file_1_g8457	-
file_1_file_1_g8459	ko:K10656
file_1_file_1_g8460	ko:K11294
file_1_file_1_g8461	ko:K19867
file_1_file_1_g8462	ko:K19867
file_1_file_1_g8465	ko:K09540
file_1_file_1_g8466	ko:K11251
file_1_file_1_g8467	ko:K08471
file_1_file_1_g8468	ko:K08471
file_1_file_1_g8471	ko:K18932
file_1_file_1_g20470	ko:K13171
file_1_file_1_g20471	ko:K12846
file_1_file_1_g20473	ko:K18622
file_1_file_1_g20474	ko:K18622
file_1_file_1_g20475	-
file_1_file_1_g20477	ko:K09228
file_1_file_2_9660_g	ko:K09228
file_1_file_1_g20478	-
file_1_file_1_g20480	-
file_1_file_1_g20481	ko:K14075,ko:K19404
file_1_file_1_g20482	ko:K13194
file_1_file_1_g20484	ko:K03691
file_1_file_1_g20485	ko:K16575
file_1_file_1_g20487	ko:K03965
file_1_file_1_g20488	-
file_1_file_1_g20489	ko:K03265
file_1_file_1_g20493	-
file_1_file_1_g20497	ko:K01408
file_1_file_1_g20498	-
file_1_file_1_g20500	ko:K17495
file_1_file_1_g20501	ko:K00747,ko:K03419
file_1_file_1_g20504	ko:K07951
file_1_file_2_9687_g	-
file_1_file_1_g20506	-
file_1_file_1_g20508	ko:K05860
file_1_file_1_g20509	ko:K14406
file_1_file_1_g20510	ko:K05860
file_1_file_1_g20511	ko:K07189
file_1_file_1_g20514	-
file_1_file_1_g20515	ko:K03850
file_1_file_1_g20516	ko:K03850
file_1_file_1_g20518	ko:K10143
file_1_file_1_g20519	ko:K11797,ko:K11798
file_1_file_1_g20521	ko:K14025
file_1_file_1_g20523	ko:K05860
file_1_file_1_g20524	ko:K01408
file_1_file_1_g20526	ko:K14411
file_1_file_1_g20527	ko:K01881
file_1_file_1_g20529	ko:K08059
file_1_file_1_g20530	-
file_1_file_1_g20531	ko:K02211
file_1_file_1_g20532	ko:K01265,ko:K17921
file_1_file_1_g20533	-
file_1_file_1_g20534	ko:K01265,ko:K17921
file_1_file_1_g20535	ko:K06124,ko:K13248
file_1_file_1_g20536	ko:K03687
file_1_file_1_g20537	ko:K12820,ko:K14305
file_1_file_1_g20538	ko:K04697,ko:K04698,ko:K04699
file_1_file_1_g20539	ko:K06838,ko:K06839,ko:K06850,ko:K19036
file_1_file_1_g20540	ko:K06838,ko:K06839,ko:K06850,ko:K19036
file_1_file_1_g20542	ko:K13211
file_1_file_1_g20549	-
file_1_file_1_g20557	-
file_1_file_1_g20558	-
file_1_file_1_g20559	-
file_1_file_1_g20562	-
file_1_file_1_g20563	ko:K09228,ko:K09229
file_1_file_1_g20564	ko:K09228,ko:K09229
file_1_file_1_g20565	ko:K09228
file_1_file_1_g20566	ko:K09228
file_1_file_1_g20567	ko:K09228,ko:K09229
file_1_file_1_g20568	ko:K09228
file_1_file_1_g20569	ko:K09228
file_1_file_1_g20570	ko:K09228
file_1_file_1_g20571	ko:K09228,ko:K09229
file_1_file_1_g20572	ko:K09228,ko:K09229
file_1_file_1_g20573	ko:K09228
file_1_file_1_g20574	ko:K09228
file_1_file_1_g20575	ko:K09228,ko:K09229
file_1_file_1_g20577	-
file_1_file_1_g20578	-
file_1_file_1_g20579	ko:K09228
file_1_file_1_g20580	ko:K09228
file_1_file_1_g20581	ko:K09228
file_1_file_1_g20582	-
file_1_file_1_g20583	ko:K09228
file_1_file_1_g20584	-
file_1_file_1_g20585	-
file_1_file_1_g20586	ko:K09228
file_1_file_1_g20588	-
file_1_file_1_g20589	ko:K09228
file_1_file_1_g20593	ko:K09228
file_1_file_1_g20594	ko:K09228
file_1_file_1_g20595	ko:K09228
file_1_file_1_g20596	ko:K09228,ko:K09229
file_1_file_1_g20597	ko:K09228
file_1_file_1_g20598	ko:K09228,ko:K09229
file_1_file_1_g20599	ko:K09228,ko:K09229
file_1_file_1_g20600	ko:K09228,ko:K09229
file_1_file_1_g20601	-
file_1_file_1_g20602	-
file_1_file_1_g20603	ko:K09228
file_1_file_1_g20604	ko:K09228
file_1_file_1_g20605	ko:K09228
file_1_file_1_g20606	ko:K09228
file_1_file_1_g20607	ko:K09228
file_1_file_1_g20608	-
file_1_file_1_g20609	-
file_1_file_1_g20610	-
file_1_file_1_g20611	-
file_1_file_1_g20612	ko:K06550,ko:K06756,ko:K06757,ko:K06758,ko:K06760
file_1_file_1_g20613	ko:K06550,ko:K06756,ko:K06757,ko:K06758,ko:K06760
file_1_file_1_g20614	ko:K03662
file_1_file_1_g20615	ko:K03662
file_1_file_1_g20616	ko:K04043
file_1_file_1_g20622	ko:K00310
file_1_file_1_g20624	ko:K18693
file_1_file_1_g20625	ko:K09640
file_1_file_1_g20626	ko:K09640
file_1_file_1_g20627	ko:K17495
file_1_file_1_g20628	-
file_1_file_1_g20630	-
file_1_file_1_g20631	-
file_1_file_1_g20632	-
file_1_file_1_g20633	-
file_1_file_1_g20635	-
file_1_file_1_g20636	-
file_1_file_1_g20645	-
file_1_file_1_g20646	-
file_1_file_1_g20647	-
file_1_file_1_g20648	ko:K15255
file_1_file_1_g20649	ko:K15255
file_1_file_1_g20650	ko:K03965
file_1_file_1_g20651	-
file_1_file_1_g20655	-
file_1_file_1_g20656	-
file_1_file_1_g20657	-
file_1_file_1_g20658	ko:K10394,ko:K16606,ko:K20198
file_1_file_1_g20659	ko:K09228,ko:K09229
file_1_file_1_g20660	-
file_1_file_1_g20661	-
file_1_file_1_g20664	ko:K15102
file_1_file_1_g20669	-
file_1_file_1_g20670	ko:K01823,ko:K03134
file_1_file_1_g20671	ko:K05863
file_1_file_1_g20673	-
file_1_file_1_g20675	ko:K12174
file_1_file_1_g20676	-
file_1_file_1_g20678	ko:K05201,ko:K05202,ko:K05313
file_1_file_1_g20681	ko:K15980
file_1_file_1_g20682	ko:K05313
file_1_file_1_g20683	ko:K02912
file_1_file_1_g20684	-
file_1_file_1_g20685	-
file_1_file_2_9835_g	-
file_1_file_1_g20686	-
file_1_file_1_g20687	ko:K13102
file_1_file_1_g20688	ko:K16302
file_1_file_1_g20690	ko:K02726
file_1_file_1_g20691	ko:K12566
file_1_file_1_g20693	ko:K10799
file_1_file_1_g20694	ko:K00507,ko:K15331
file_1_file_1_g20695	ko:K10799
file_1_file_1_g20697	ko:K13089
file_1_file_1_g20698	ko:K13089
file_1_file_1_g20699	-
file_1_file_1_g20700	-
file_1_file_1_g20701	-
file_1_file_1_g20702	-
file_1_file_1_g20703	-
file_1_file_1_g20704	-
file_1_file_1_g20707	-
file_1_file_1_g20708	ko:K08655,ko:K08656
file_1_file_1_g20709	ko:K08655,ko:K08656
file_1_file_1_g20710	ko:K16302
file_1_file_1_g20712	ko:K06709
file_1_file_1_g20713	ko:K06709
file_1_file_1_g20714	ko:K12854
file_1_file_1_g20715	-
file_1_file_1_g20716	ko:K00522
file_1_file_1_g20718	-
file_1_file_1_g20719	-
file_1_file_1_g20720	-
file_1_file_1_g20721	-
file_1_file_1_g20729	-
file_1_file_1_g20732	-
file_1_file_1_g20734	-
file_1_file_1_g20736	-
file_1_file_1_g20737	-
file_1_file_1_g20745	-
file_1_file_1_g20746	-
file_1_file_1_g20748	-
file_1_file_1_g20749	-
file_1_file_1_g20750	-
file_1_file_1_g20751	ko:K01648
file_1_file_1_g20752	ko:K11789
file_1_file_1_g20753	-
file_1_file_1_g20754	-
file_1_file_1_g20755	-
file_1_file_1_g20759	-
file_1_file_1_g20760	ko:K19703
file_1_file_1_g20764	-
file_1_file_1_g20765	-
file_1_file_1_g20767	-
file_1_file_1_g20768	-
file_1_file_1_g20770	-
file_1_file_1_g20773	-
file_1_file_1_g20774	ko:K01126,ko:K19179
file_1_file_1_g20775	ko:K01126,ko:K19179
file_1_file_1_g20776	ko:K00699,ko:K04628
file_1_file_1_g20777	ko:K00699,ko:K04628
file_1_file_1_g20778	ko:K00699,ko:K04628
file_1_file_1_g20779	ko:K13915
file_1_file_1_g20780	ko:K00658
file_1_file_1_g20785	ko:K01942,ko:K09100
file_1_file_1_g20786	ko:K03016
file_1_file_1_g20787	ko:K11131
file_1_file_1_g20788	-
file_1_file_1_g20789	-
file_1_file_2_9938_g	-
file_1_file_1_g20792	-
file_1_file_1_g20793	-
file_1_file_1_g20795	-
file_1_file_1_g20797	-
file_1_file_1_g20799	ko:K19179
file_1_file_1_g20801	-
file_1_file_1_g20803	-
file_2_9949_g	-
file_1_file_1_g20804	-
file_1_file_1_g20805	-
file_1_file_1_g20806	-
file_1_file_1_g20807	ko:K22070,ko:K22071
file_1_file_1_g20808	ko:K10683
file_1_file_1_g20809	-
file_1_file_1_g20810	-
file_1_file_1_g20812	ko:K11087
file_1_file_1_g20813	ko:K10840,ko:K16465
file_1_file_1_g20814	-
file_1_file_1_g20815	ko:K03113,ko:K12367,ko:K17439
file_1_file_1_g20816	ko:K03113
file_1_file_1_g20817	ko:K04648
file_1_file_1_g20818	-
file_1_file_1_g20819	ko:K03992,ko:K19904,ko:K20674
file_1_file_1_g20821	ko:K16865
file_1_file_1_g20823	-
file_1_file_1_g20824	ko:K03992,ko:K19904,ko:K20674
file_1_file_1_g20826	ko:K09680,ko:K12648
file_1_file_1_g20827	ko:K01044,ko:K01049,ko:K01050,ko:K03927
file_1_file_1_g20828	ko:K01044,ko:K01049,ko:K01050,ko:K03927
file_1_file_1_g20830	ko:K15053
file_1_file_1_g20831	-
file_1_file_1_g20832	ko:K03362
file_1_file_1_g20833	-
file_1_file_1_g20834	-
file_1_file_1_g20835	-
file_1_file_1_g20836	-
file_1_file_1_g20837	ko:K15617
file_1_file_1_g20838	ko:K01228
file_1_file_1_g20840	-
file_1_file_1_g20842	ko:K03992,ko:K19904,ko:K20674
file_1_file_1_g20844	ko:K03992,ko:K19904,ko:K20674
file_1_file_1_g20845	ko:K20294
file_1_file_1_g20846	-
file_1_file_1_g20847	ko:K10862
file_1_file_1_g20848	-
file_1_file_1_g20849	ko:K08155
file_1_file_1_g20851	ko:K00002,ko:K00011
file_1_file_1_g20852	-
file_1_file_1_g20853	-
file_1_file_1_g20854	ko:K01931,ko:K15689,ko:K16782
file_1_file_1_g20855	-
file_1_file_1_g20856	-
file_1_file_1_g20857	ko:K02129
file_1_file_1_g20858	ko:K13506
file_1_file_1_g20859	ko:K12843
file_1_file_1_g20861	ko:K12843
file_1_file_1_g20862	ko:K12662
file_1_file_1_g20863	ko:K00012
file_1_file_1_g20864	ko:K02353
file_1_file_1_g20865	-
file_1_file_1_g20866	ko:K14841
file_1_file_1_g20867	-
file_1_file_1_g20868	-
file_1_file_1_g20869	ko:K00002,ko:K00011
file_1_file_2_10021_g	ko:K12824
file_1_file_1_g20875	ko:K12824
file_1_file_1_g20876	-
file_1_file_1_g20877	ko:K10093
file_1_file_1_g20878	ko:K09518,ko:K09520
file_1_file_1_g20879	-
file_1_file_1_g20880	-
file_1_file_1_g20881	ko:K14825
file_1_file_1_g20882	ko:K06229
file_1_file_1_g20885	ko:K06229
file_1_file_1_g20886	-
file_1_file_1_g20889	-
file_1_file_1_g20890	-
file_1_file_1_g20891	ko:K09228
file_1_file_1_g20892	ko:K09228
file_1_file_1_g20893	ko:K09228
file_1_file_1_g20894	ko:K09499
file_1_file_1_g20895	-
file_1_file_1_g20897	ko:K06115
file_1_file_1_g20898	ko:K14304
file_1_file_1_g20899	ko:K14304
file_1_file_1_g18669	ko:K12859
file_1_file_1_g18671	-
file_1_file_1_g18672	ko:K20196,ko:K20197,ko:K20198
file_1_file_1_g18674	ko:K20196,ko:K20197,ko:K20198
file_1_file_1_g18675	ko:K15027
file_1_file_1_g18676	ko:K15027
file_1_file_1_g18680	-
file_1_file_1_g18681	-
file_1_file_1_g18682	ko:K16939,ko:K16940
file_1_file_1_g18683	-
file_1_file_1_g18687	-
file_1_file_1_g18689	-
file_1_file_1_g18691	-
file_1_file_1_g18693	-
file_1_file_1_g18695	-
file_1_file_1_g18696	ko:K08145
file_1_file_1_g18697	-
file_1_file_1_g18699	ko:K20724
file_1_file_1_g18700	ko:K01893
file_1_file_1_g18701	ko:K14400
file_1_file_1_g18702	-
file_1_file_1_g18703	-
file_1_file_1_g18704	-
file_1_file_1_g18705	-
file_1_file_1_g18706	ko:K00020
file_1_file_1_g18707	-
file_1_file_1_g18709	ko:K20631
file_1_file_1_g18710	-
file_1_file_1_g18711	-
file_1_file_1_g18713	ko:K20366
file_1_file_1_g18716	-
file_1_file_1_g18718	-
file_1_file_1_g18720	ko:K17492
file_1_file_1_g18721	ko:K17492
file_1_file_1_g18724	ko:K16358
file_1_file_1_g18725	-
file_1_file_1_g18726	-
file_1_file_1_g18727	ko:K16358
file_1_file_1_g18729	-
file_1_file_1_g18730	ko:K17805,ko:K18619
file_1_file_1_g18731	ko:K07917
file_1_file_1_g18732	ko:K10523
file_1_file_1_g18733	ko:K15025
file_1_file_1_g18734	ko:K02332
file_1_file_1_g18736	ko:K14307
file_1_file_1_g18738	ko:K11997
file_1_file_1_g18739	ko:K02332,ko:K10352,ko:K12393,ko:K12473
file_1_file_1_g18740	ko:K02332
file_1_file_1_g18741	ko:K01409,ko:K05864,ko:K09566
file_1_file_1_g18742	ko:K16717
file_1_file_1_g18743	ko:K05286
file_1_file_1_g18744	ko:K17341
file_1_file_1_g18745	-
file_1_file_1_g18746	ko:K11578
file_1_file_1_g18747	-
file_1_file_1_g18748	-
file_1_file_1_g18749	ko:K19323
file_1_file_1_g18750	ko:K12171
file_1_file_1_g18751	ko:K12171
file_1_file_1_g18752	-
file_1_file_1_g18753	-
file_1_file_1_g18755	-
file_1_file_1_g18756	-
file_1_file_1_g18757	-
file_1_file_1_g18759	-
file_1_file_1_g18760	-
file_2_10150_g	-
file_1_file_1_g18761	-
file_1_file_1_g18765	-
file_1_file_1_g18766	-
file_1_file_1_g18769	-
file_1_file_1_g18771	-
file_1_file_1_g18773	-
file_1_file_1_g18774	ko:K21032
file_1_file_1_g18777	ko:K09504
file_1_file_1_g18778	-
file_1_file_1_g18779	ko:K02903
file_1_file_1_g18780	-
file_1_file_1_g18782	-
file_1_file_1_g18783	ko:K12670,ko:K15184,ko:K15185,ko:K15194,ko:K15195
file_1_file_1_g18784	ko:K14521
file_1_file_1_g18785	ko:K11765
file_1_file_1_g18786	-
file_1_file_1_g18790	ko:K12318,ko:K12319
file_1_file_1_g18791	ko:K12318,ko:K12319
file_1_file_1_g18792	ko:K12318,ko:K12319
file_1_file_1_g18793	ko:K10339
file_1_file_1_g18794	ko:K12319,ko:K17479
file_1_file_1_g18795	ko:K12319,ko:K17479
file_1_file_1_g18796	ko:K19903,ko:K19906,ko:K19909,ko:K19910
file_1_file_1_g18798	ko:K13911,ko:K14398
file_1_file_1_g18799	-
file_1_file_1_g18800	ko:K03023
file_1_file_1_g18801	ko:K03023
file_1_file_1_g18802	-
file_1_file_1_g18803	-
file_1_file_1_g18804	ko:K02960
file_1_file_1_g18806	ko:K00907
file_1_file_2_10198_g	ko:K00907,ko:K08809
file_1_file_1_g18807	ko:K04638
file_1_file_1_g18808	ko:K09668
file_1_file_1_g18809	-
file_1_file_1_g18812	-
file_1_file_1_g18813	-
file_1_file_1_g18814	-
file_1_file_1_g18815	ko:K11418
file_1_file_1_g18816	-
file_1_file_1_g18817	ko:K12188
file_1_file_1_g18818	-
file_1_file_1_g18819	ko:K14829,ko:K21412
file_1_file_1_g18820	ko:K14829,ko:K21412
file_1_file_1_g18821	ko:K07297
file_1_file_1_g18822	ko:K07575
file_1_file_1_g18823	ko:K00311
file_1_file_1_g18824	-
file_1_file_1_g18826	-
file_1_file_1_g18827	-
file_1_file_1_g18828	ko:K14708
file_1_file_1_g18831	-
file_1_file_1_g18834	-
file_1_file_1_g18836	ko:K01298
file_1_file_1_g18837	ko:K01298
file_1_file_1_g18838	ko:K01298
file_1_file_1_g18839	-
file_1_file_1_g18840	ko:K19283
file_1_file_2_10234_g	ko:K19283
file_1_file_1_g18841	-
file_1_file_1_g18842	ko:K17341
file_1_file_1_g18844	ko:K17341
file_1_file_1_g18845	ko:K17341
file_1_file_1_g18846	ko:K20191
file_1_file_1_g18847	ko:K09269
file_1_file_1_g18849	ko:K09269
file_1_file_1_g18853	-
file_1_file_1_g18854	ko:K21413
file_1_file_1_g18855	-
file_1_file_1_g18856	ko:K21413
file_1_file_1_g18857	-
file_1_file_1_g18858	ko:K08031
file_1_file_1_g18860	ko:K22255
file_1_file_1_g18862	ko:K12377
file_1_file_1_g18863	ko:K12377
file_1_file_1_g18864	-
file_1_file_1_g18867	-
file_1_file_1_g18868	-
file_1_file_1_g18869	-
file_1_file_2_10265_g	-
file_1_file_1_g18871	-
file_1_file_1_g18872	ko:K08031
file_1_file_1_g18873	ko:K08031
file_1_file_1_g18874	ko:K08031
file_1_file_1_g18875	ko:K22415
file_1_file_1_g18876	ko:K16803
file_1_file_1_g18877	ko:K16803
file_1_file_1_g18878	ko:K16803
file_1_file_1_g18879	-
file_1_file_1_g18880	ko:K15701
file_1_file_1_g18881	ko:K06062
file_1_file_1_g18882	ko:K05052,ko:K05053
file_1_file_1_g18883	ko:K05052,ko:K05053
